programme;transaction;tp
PAUESVB5;UEB5;listerEtablissementsUE
PAUESVB7;UEB7;gererModalitesPopulations
PAUESVB8;UEB8;modifierLienInterlocution
PAUESVB9;UEB9;initialisationIndicateursPopulation
PAUESVC1;UEC1;miseAJourStructureConditionInterlocutionAjoutCatPro
PAUESVC2;UEC2;annulEtMiseAJourStructureConditionInterlocutionAuto
PAUESVC3;UEC3;annulEtMiseAJourStructureConditionInterlocutionManuel
PAUESVC4;UEC4;editerRecapitulatifConditionInterlocution
PAUESVC6;UEC6;consulterUE
PAUESVCB;UECB;annulationDernieresConditionsInterlocution
PAUESVCG;UECG;creerConditionInterlocutionIndividuelle
PAUESVCJ;UECJ;majStructureConditionInterlocutionManuelleAjoutCatPro
PAUESVCK;UECK;rechercherExistenceRattachementSousEnsembleUE
PAUESVCQ;UECQ;initialisationStructureInterlocutionALaCarteExistante
PAUESVCU;UECU;rechercherEtablissementsNonAffectesCAR
PAUESVCW;UECW;controleFaisabiliteGestionStructureInterlocution
PAUESVD3;UED3;rechercherEtablissementsADate
PAUESVD4;UED4;rechercherDateFermeture
PAUESVD5;UED5;gereRataEtabPopALaCarte
PAUESVD6;UED6;gerePopALaCarte
PAUESVD7;UED7;gereRataPopALaCarte
PAUESVD8;UED8;gereUedALaCarte
PAUESVD9;UED9;gereUedUecALaCarte
PAUESVDA;UEDA;gereUecALaCarte
PAUESVDB;UEDB;purgeTableTempALaCarte
PAUESVDC;UEDC;gereElemsClasArticle36
PB00SV03;0003;restituerInformationObjetGestion
PB00SV05;0005;restituerInformationAuteur
PB00SV07;0007;rechercherTypeObjetGestion
PB00SV15;0015;lectureParametreTechnique
PB00SV21;0021;restituerDetailObjetGestion
PBCTSV02;ZT02;recupererJeuParametresActifs
PBGESV01;GE01;posterCRE
PBGESV16;GE16;rechercherCRE
PBGESV17;GE17;rechercherCRENotifie
PBGESV24;GE24;listerNatureTypeEvenement
PBGHSV05;GH05;listerRessourcesGraphiquesApplicationUtilisateur
PBGHSV11;GH11;verifierPresenceRessource
PBGHSV15;GH15;verifierHabilitationFonction
PBGHSV17;SB02;verifierDroitAccesObjetProtege
PBGHSV18;GH18;verifierHabilitationFonctionTache
PBGHSV19;GH19;verifierHabilitationSurFonctionEtContexte
PBGHSV20;GH20;verifierPresenceRessourceLong
PBGHSV22;GH22;listerFonctionsApplicationUtilisateur
PBGHSV25;GH25;listerApplicationsSurCriteres
PBGHSV26;GH26;listerFonctionsSurCriteres
PBGHSV28;GH28;restituerTypeActeurHabilitations
PBGHSV29;GH29;fermerDroitsUtilisateur
PBGHSV31;GH31;verifierHabilitationObjetGestion
PBGHSV34;GH34;listerProfilsUsageSurCriteres
PBGHSV35;GH35;listerRessourcesSurCriteres
PBGHSV37;GH37;supprimerProfilUsage
PBGHSV38;GH38;listerProfilsMetierSurCriteres
PBGHSV39;GH39;listerEGPourHabilitations
PBGHSV40;GH40;listerUtilisateursPourHabilitations
PBGHSV43;GH43;creerEnregProtectionAdherent
PBGHSV44;GH44;listerEnregsProtectionAdherent
PBGHSV50;GH50;supprimerProfilMetier
PBGHSV51;GH51;creerModifierDetailProfilUsage
PBGHSV52;GH52;restituerLiensProfilUsageRessources
PBGHSV53;GH53;restituerLiensProfilUsageFonction
PBGHSV54;GH54;creerModifierLiensProfilUsageFonction
PBGHSV55;GH55;creerModifierLiensProfilUsageRessource
PBGHSV56;GH56;restituerLiensProfilMetierProfilUsage
PBGHSV57;GH57;creerModifierDetailProfilMetier
PBGHSV58;GH58;creerModifierLiensProfilMetierProfilUsage
PBGHSV59;GH59;restituerLiensProfilMetierEntiteGestion
PBGHSV60;GH60;creerModifierLiensProfilMetierEntiteGestion
PBGHSV61;GH61;restituerLiensProfilMetierUtilisateur
PBGHSV62;GH62;creerModifierLiensProfilMetierUtilisateur
PBGHSV63;GH63;restituerLiensDAOPUtilisateur
PBGHSV64;GH64;creerModifierLiensDAOPUtilisateur
PBGHSV75;GH75;listerRessourcesMetierApplicationUtilisateur
PBGHSV76;GH76;restituerDetailProfilUsage
PBGHSV77;GH77;restituerDetailProfilMetier
PBGHSV78;GH78;restituerListeBriques
PBGHSV79;GH79;restituerListeQuartiers
PBGHSV81;GH81;cartographierApplications
PBGHSV82;GH82;cartographierPU
PBGHSV83;GH83;cartographierPM
PBGHSV84;GH84;cartographierUtilisateurs
PBGHSV85;GH85;cartographierDAOP
PBGHSV86;GH86;cartographierEG
PBGHSV87;GH87;verifierHabilitationsSurFonctionEtObjets
PBGHSV88;GH88;verifierHabilitationsSurFonctionEtUnObjet
PBGOSV02;GO02;consulterAppartenanceUserAEG
PBGOSV04;GO04;controlerExistenceEG
PBGOSV05;GO05;restituerListeDomainesActivite
PBGOSV06;GO06;restituerListeDesEG
PBGOSV07;GO07;restituerEGPourRoleUtilisateur
PBGOSV14;GO14;fermerLienUserEG
PBGOSV16;GO16;restituerUtilisateurPourRoleEG
PBGOSV17;GO17;restituerListeEGNonRattachees
PBGOSV18;GO18;creerDomaineActivite
PBGOSV20;GO20;initialiserMajDomaineActivite
PBGOSV21;GO21;mettreAJourDomaineActivite
PBGOSV22;GO22;creerEG
PBGOSV24;GO24;initialiserRattachUserAEG
PBGOSV26;GO26;creerRattachementUsersAEG
PBGOSV28;SB17;initialiserListeSelectionEG
PBGOSV29;GO29;initialiserMAJEG
PBGOSV30;GO30;initialiserHierarchieEG
PBGOSV32;GO32;mettreAJourEG
PBGOSV33;GO33;mettreAJourHierarchie
PBGOSV34;GO34;restituerListeEGValides
PBGOSV35;SB23;mettreAJourRole
PBGOSV36;GO36;restituerListeTypesRole
PBGOSV38;GO38;mettreAJourInfoUser
PBGOSV39;GO39;rechercherUtilisateursSelonCriteres
PBGOSV40;SB27;restituerCoordonnees
PBGOSV41;GO41;restituerListeEGPourDomaine
PBGOSV42;GO42;initialiserMajRole
PBGOSV44;GO44;initialiserConsultationEG
PBGOSV47;GO47;initialiserEGRattacheAUser
PBGOSV48;GO48;restituerListeCoordonnees
PBGOSV49;GO49;consulterAdresse
PBGOSV50;GO50;mettreAJourParamInterlocution
PBGOSV51;GO51;restituerIdTechPourIdFoncOut
PBGOSV53;GO53;restituerListeParamInterlocution
PBGOSV55;GO55;restituerEGPourUser
PBGOSV56;GO56;restituerEGSousTraiteesCorbeille
PBGOSV57;SB77;restituerGroupeInstallation 
PBGOSV59;GO59;mettreAJourInterim
PBGOSV60;GO60;restituerInterims
PBGOSV61;GO61;restituerTitulairesPourRemplacant
PBGOSV62;GO62;restituerListeModeleDocument
PBGPSV01;GP01;attribuerPortefeuilleAvecCriteres
PBGPSV02;GP02;attribuerPortefeuilleSansCriteres
PBGPSV07;SB43;controlerPortefeuillePourUser
PBGPSV09;SB44;restituerStructureRegle
PBGPSV10;SB45;rechercherPortefeuillesPourDomaine
PBGPSV11;SB46;initialiserConsultationRegle
PBGPSV14;GP14;creerRegle
PBGPSV15;SB47;initialiserValorisationRegle
PBGPSV16;GP16;initialiserDateDebutValiditeRegle
PBGPSV17;GP17;initialiserDuplicationRegle
PBGPSV19;GP19;controlerEGEstEGParDefaut
PBGPSV20;GP20;initialiserVersionRegle
PBGPSV22;GP22;modifierRegle
PBGPSV24;GP24;restituerListeCriteres
PBGPSV25;GP25;restituerListeRegles
PBGPSV26;GP26;valoriserRegle
PBGPSV27;GP27;creerModifierValorisation
PBGPSV29;#N/A;cloturerEGDefaut
PBGPSV30;#N/A;initialiserStructureRegle
PBGPSV31;GP31;creerEGDefautPourDomaine
PBGPSV32;GP32;initialiserListeDAEtEGDefaut
